TYPE;CODE;NAME;SHEETS
TRACT;37119003903;39.03;2
TRACT;37119004000;40;2
TRACT;37119004100;41;2
TRACT;37119004200;42;2
TRACT;37119004302;43.02;1,2
TRACT;37119004303;43.03;1,2
TRACT;37119004304;43.04;1,2
TRACT;37119004305;43.05;1,2
TRACT;37119004400;44;1
TRACT;37119004500;45;1,2
TRACT;37119004600;46;1,2
TRACT;37119004700;47;2
TRACT;37119004800;48;1,2
TRACT;37119004900;49;2
TRACT;37119005000;50;1,2
TRACT;37119005100;51;1,2
TRACT;37119005200;52;1,2
TRACT;37119005301;53.01;1,2
TRACT;37119005305;53.05;1
TRACT;37119005306;53.06;1,2
TRACT;37119005307;53.07;1
TRACT;37119005308;53.08;1
TRACT;37119005401;54.01;1
TRACT;37119005403;54.03;1
TRACT;37119005404;54.04;1
TRACT;37119005508;55.08;1
TRACT;37119005509;55.09;1
TRACT;37119005510;55.10;1
TRACT;37119005511;55.11;1
TRACT;37119005512;55.12;1
TRACT;37119005513;55.13;1
TRACT;37119005514;55.14;1
TRACT;37119005515;55.15;1
TRACT;37119005516;55.16;1
TRACT;37119005517;55.17;1
TRACT;37119005518;55.18;1
TRACT;37119005519;55.19;1
TRACT;37119005520;55.20;1
TRACT;37119005521;55.21;1
TRACT;37119005522;55.22;1
TRACT;37119005523;55.23;1
TRACT;37119005524;55.24;1
TRACT;37119005604;56.04;1
TRACT;37119005605;56.05;1
TRACT;37119005609;56.09;1
TRACT;37119005610;56.10;1
TRACT;37119005611;56.11;1
TRACT;37119005612;56.12;1
TRACT;37119005613;56.13;1
TRACT;37119005614;56.14;1
TRACT;37119005615;56.15;1
TRACT;37119005616;56.16;1,2
TRACT;37119005617;56.17;2
TRACT;37119005618;56.18;1,2
TRACT;37119005619;56.19;1,2
TRACT;37119005620;56.20;2
TRACT;37119005621;56.21;1,2
TRACT;37119005706;57.06;2
TRACT;37119005709;57.09;2
TRACT;37119005710;57.10;2
TRACT;37119005711;57.11;2
TRACT;37119005712;57.12;2
TRACT;37119005713;57.13;2
TRACT;37119005714;57.14;2
TRACT;37119005715;57.15;2
TRACT;37119005716;57.16;2
TRACT;37119005717;57.17;2
TRACT;37119005811;58.11;2
TRACT;37119005812;58.12;2
TRACT;37119005815;58.15;2
TRACT;37119005816;58.16;2
TRACT;37119005817;58.17;2
TRACT;37119005823;58.23;2
TRACT;37119005824;58.24;2
TRACT;37119005825;58.25;2
TRACT;37119005826;58.26;2
TRACT;37119005827;58.27;2
TRACT;37119005828;58.28;2
TRACT;37119005829;58.29;2
TRACT;37119005830;58.30;2
TRACT;37119005831;58.31;2
TRACT;37119005832;58.32;2
TRACT;37119005833;58.33;2
TRACT;37119005834;58.34;2
TRACT;37119005835;58.35;2
TRACT;37119005836;58.36;2
TRACT;37119005837;58.37;2
TRACT;37119005838;58.38;2
TRACT;37119005839;58.39;2
TRACT;37119005840;58.40;2
TRACT;37119005841;58.41;2
TRACT;37119005842;58.42;2
TRACT;37119005843;58.43;2
TRACT;37119005844;58.44;2
TRACT;37119005845;58.45;2
TRACT;37119005846;58.46;2
TRACT;37119005847;58.47;2
TRACT;37119005848;58.48;2
TRACT;37119005906;59.06;1,2
TRACT;37119005907;59.07;2
TRACT;37119005908;59.08;2
TRACT;37119005909;59.09;2
TRACT;37119005910;59.10;2
TRACT;37119005911;59.11;2
TRACT;37119005912;59.12;2
TRACT;37119005913;59.13;2
TRACT;37119005914;59.14;2
TRACT;37119005915;59.15;2
TRACT;37119005916;59.16;2
TRACT;37119005917;59.17;2
TRACT;37119005918;59.18;2
TRACT;37119006005;60.05;1,2
TRACT;37119006006;60.06;1,2
TRACT;37119006007;60.07;1
TRACT;37119006008;60.08;1
TRACT;37119006009;60.09;1
TRACT;37119006010;60.10;1
TRACT;37119006103;61.03;1
TRACT;37119006104;61.04;1
TRACT;37119006105;61.05;1
TRACT;37119006106;61.06;1
TRACT;37119006107;61.07;1
TRACT;37119006108;61.08;1
TRACT;37119006109;61.09;1
TRACT;37119006203;62.03;1
TRACT;37119006204;62.04;1
TRACT;37119006208;62.08;1
TRACT;37119006209;62.09;1
TRACT;37119006210;62.10;1
TRACT;37119006211;62.11;1
TRACT;37119006212;62.12;1
TRACT;37119006213;62.13;1
TRACT;37119006214;62.14;1
TRACT;37119006215;62.15;1
TRACT;37119006302;63.02;1
TRACT;37119006303;63.03;1
TRACT;37119006304;63.04;1
TRACT;37119006403;64.03;1
TRACT;37119006404;64.04;1
TRACT;37119006405;64.05;1
TRACT;37119006406;64.06;1
TRACT;37119006407;64.07;1
TRACT;37119980100;9801;2
TRACT;37119980200;9802;2
TRACT;37119980300;9803;2







char_cts= [37119000100, 37119000300 , 37119000400 , 37119000500 , 37119000600 , 37119000700 , 37119000800 , 37119000900 , 37119001000 , 37119001100 , 37119001200 , 37119001300 , 37119001400 , 37119001504 , 37119001505 , 37119001507 , 37119001508 , 37119001509 , 37119001510 , 37119001603 , 37119001605 , 37119001606 , 37119001607 , 37119001608 , 37119001609 , 37119001701 , 37119001702 , 37119001801 , 37119001802 , 37119001910 , 37119001911 , 37119001912 , 37119001914 , 37119001915 , 37119001916 , 37119001917 , 37119001918 , 37119001919 , 37119001920 , 37119001921 , 37119001922 , 37119001923 , 37119002002 , 37119002003 , 37119002004 , 37119002100 , 37119002200 , 37119002300 , 37119002400 , 37119002500 , 37119002600 , 37119002701 , 37119002702 , 37119002800 , 37119002903 , 37119002904 , 37119002905 , 37119002906 , 37119003006 , 37119003007 , 37119003008 , 37119003011 , 37119003012 , 37119003013 , 37119003015 , 37119003016 , 37119003017 , 37119003018 , 37119003102 , 37119003103 , 37119003105 , 37119003106 , 37119003108 , 37119003109 , 37119003201 , 37119003203 , 37119003204 , 37119003300 , 37119003400 , 37119003500 , 37119003600 , 37119003700 , 37119003802 , 37119003805 , 37119003806 , 37119003807 , 37119003808 , 37119003902 , 37119003903 , 37119004000 , 37119004100 , 37119004200 , 37119004302 , 37119004303 , 37119004304 , 37119004305 , 37119004400 , 37119004500 , 37119004600 , 37119004700 , 37119004800 , 37119004900 , 37119005000 , 37119005100 , 37119005200 , 37119005301 , 37119005305 , 37119005306 , 37119005307 , 37119005308 , 37119005401 , 37119005403 , 37119005404 , 37119005508 , 37119005509 , 37119005510 , 37119005511 , 37119005512 , 37119005513 , 37119005514 , 37119005515 , 37119005516 , 37119005517 , 37119005518 , 37119005519 , 37119005520 , 37119005521 , 37119005522 , 37119005523 , 37119005524 , 37119005604 , 37119005605 , 37119005609 , 37119005610 , 37119005611 , 37119005612 , 37119005613 , 37119005614 , 37119005615 , 37119005616 , 37119005617 , 37119005618 , 37119005619 , 37119005620 , 37119005621 , 37119005706 , 37119005709 , 37119005710 , 37119005711 , 37119005712 , 37119005713 , 37119005714 , 37119005715 , 37119005716 , 37119005717 , 37119005811 , 37119005812 , 37119005815 , 37119005816 , 37119005817 , 37119005823 , 37119005824 , 37119005825 , 37119005826 , 37119005827 , 37119005828 , 37119005829 , 37119005830 , 37119005831 , 37119005832 , 37119005833 , 37119005834 , 37119005835 , 37119005836 , 37119005837 , 37119005838 , 37119005839 , 37119005840 , 37119005841 , 37119005842 , 37119005843 , 37119005844 , 37119005845 , 37119005846 , 37119005847 , 37119005848 , 37119005906 , 37119005907 , 37119005908 , 37119005909 , 37119005910 , 37119005911 , 37119005912 , 37119005913 , 37119005914 , 37119005915 , 37119005916 , 37119005917 , 37119005918 , 37119006005 , 37119006006 , 37119006007 , 37119006008 , 37119006009 , 37119006010 , 37119006103 , 37119006104 , 37119006105 , 37119006106 , 37119006107 , 37119006108 , 37119006109 , 37119006203 , 37119006204 , 37119006208 , 37119006209 , 37119006210 , 37119006211 , 37119006212 , 37119006213 , 37119006214 , 37119006215 , 37119006302 , 37119006303 , 37119006304 , 37119006403 , 37119006404 , 37119006405 , 37119006406 , 37119006407 , 37119980100 , 37119980200 , 37119980300]
